"Elster Metering Systems","Printed: Wednesday, January 22, 2020 12:32:20 PM","","","","","","","","",""
"","--------31142540 05-Dec-19 9:00:16 AM","","","","","","","","",""
"Script Generated by SMARTset Version 1.1.6438.16169","","","","","","","","","",""
"Reading Created by SMARTset Version 1.1.6438.16169","","","","","","","","","",""
"Meter Firmware Build: 2-02006-A","","","","","","","","","",""
"Status: Program Completed Normally.   (000000)","","","","","","","","","",""
"Meter Constants","","","","","","","","","",""
"","Meter Constants","","","","","","","","",""
"","","Current Connection","","","","","","","",""
"","","","","Primary","Secondary","","Ratio","","",""
"","","","CT/VT","150","5","=","30.000","","",""
"","CT/VT Error","","","","","","","","",""
"","","CT Error %","0.00%","","","","","","",""
"","","VT Error %","0.00%","","","","","","",""
"","","","","","","","","","",""
"Time and Date","","","","","","","","","",""
"","Daylight Saving Setup","","","","","","","","",""
"","","Daylight Saving","Enabled","","","","","","",""
"","","Advance On","Every First Sunday of September at 01:00","","","","","","",""
"","","Retard On","Every First Sunday of April at 02:00","","","","","","",""
"","","Adjust By","1 hours","","","","","","",""
"","Meter Time","","","","","","","","",""
"","Meter Time:","Thursday, December 5, 2019 9:00:45 AM","","","","","","","",""
"","PC (or HHU) clock:","Thursday, December 5, 2019 9:00:22 AM","","","","","","","",""
"","Difference:","Meter is 0 days, 0 hours, 0 minutes, 23 seconds ahead","","","","","","","",""
"","","","","","","","","","",""
"Current Values","","","","","","","","","",""
"","Cumulative Registers","","","","","","","","",""
"","","Cumulative Totals","","","","","","","",""
"","","","Value","Source","","","","","",""
"","","","25,159,069.200","Import Wh","","","","","",""
"","","","0.000","Export Wh","","","","","",""
"","","","31,714.800","Q1 varh","","","","","",""
"","","","0.000","Q2 varh","","","","","",""
"","","","0.000","Q3 varh","","","","","",""
"","","","5,634,196.800","Q4 varh","","","","","",""
"","","","25,165,956.000","Total VAh","","","","","",""
"","","","5,665,911.600","Customer Defined 1","","","","","",""
"","","","0.000","Customer Defined 2","","","","","",""
"","","","0.000","Customer Defined 3","","","","","",""
"","","Rates","","","","","","","",""
"","","","Ref","Value","Source","","","","",""
"","","","Rate 1","6,636,121.200","Import Wh","","","","",""
"","","","Rate 2","7,373,308.800","Import Wh","","","","",""
"","","","Rate 3","11,149,642.800","Import Wh","","","","",""
"","","","Rate 4","0.000","Export Wh","","","","",""
"","","","Rate 5","0.000","Export Wh","","","","",""
"","","","Rate 6","0.000","Export Wh","","","","",""
"","","","Rate 7","0.000","Export Wh","","","","",""
"","","","Rate 8","0.000","No Source","","","","",""
"","","","Rate 9","0.000","No Source","","","","",""
"","","","Rate 10","0.000","No Source","","","","",""
"","","","Rate 11","0.000","No Source","","","","",""
"","","","Rate 12","0.000","No Source","","","","",""
"","","","Rate 13","0.000","No Source","","","","",""
"","","","Rate 14","0.000","No Source","","","","",""
"","","","Rate 15","0.000","No Source","","","","",""
"","","","Rate 16","0.000","No Source","","","","",""
"","","","Rate 17","0.000","No Source","","","","",""
"","","","Rate 18","0.000","No Source","","","","",""
"","","","Rate 19","0.000","No Source","","","","",""
"","","","Rate 20","0.000","No Source","","","","",""
"","","","Rate 21","0.000","No Source","","","","",""
"","","","Rate 22","0.000","No Source","","","","",""
"","","","Rate 23","0.000","No Source","","","","",""
"","","","Rate 24","0.000","No Source","","","","",""
"","","","Rate 25","0.000","No Source","","","","",""
"","","","Rate 26","0.000","No Source","","","","",""
"","","","Rate 27","0.000","No Source","","","","",""
"","","","Rate 28","0.000","No Source","","","","",""
"","","","Rate 29","0.000","No Source","","","","",""
"","","","Rate 30","0.000","No Source","","","","",""
"","","","Rate 31","0.000","No Source","","","","",""
"","","","Rate 32","0.000","No Source","","","","",""
"","","MU Totals","","","","","","","",""
"","","","Value","Source","","","","","",""
"","","","0.000","Multi-utility register 1","","","","","",""
"","","","0.000","Multi-utility register 2","","","","","",""
"","","","0.000","Multi-utility register 3","","","","","",""
"","","","0.000","Multi-utility register 4","","","","","",""
"","Maximum Demands","","","","","","","","",""
"","","Maximum Demands","","","","","","","",""
"","","","Ref","Value","Source","Date and Time","","","",""
"","","","MD 1a","23,251.200","Total VA","Sunday, December 1, 2019 1:30:00 PM","","","",""
"","","","MD 1b","23,347.200","Total VA","Sunday, December 1, 2019 12:00:00 PM","","","",""
"","","","MD 1c","22,920.000","Total VA","Sunday, December 1, 2019 11:30:00 AM","","","",""
"","","","","","","","","","",""
"","","","MD 2a","0.000","No Source","Not available","","","",""
"","","","MD 2b","0.000","No Source","Not available","","","",""
"","","","MD 2c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 3a","0.000","No Source","Not available","","","",""
"","","","MD 3b","0.000","No Source","Not available","","","",""
"","","","MD 3c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 4a","0.000","No Source","Not available","","","",""
"","","","MD 4b","0.000","No Source","Not available","","","",""
"","","","MD 4c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 5a","0.000","No Source","Not available","","","",""
"","","","MD 5b","0.000","No Source","Not available","","","",""
"","","","MD 5c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 6a","0.000","No Source","Not available","","","",""
"","","","MD 6b","0.000","No Source","Not available","","","",""
"","","","MD 6c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 7a","0.000","No Source","Not available","","","",""
"","","","MD 7b","0.000","No Source","Not available","","","",""
"","","","MD 7c","0.000","No Source","Not available","","","",""
"","","","","","","","","","",""
"","","","MD 8a","0.000","No Source","Not available","","","",""
"","","","MD 8b","0.000","No Source","Not available","","","",""
"","","","MD 8c","0.000","No Source","Not available","","","",""
"","","Cumulative Maximum Demands","","","","","","","",""
"","","","Ref","Value","Source","","","","",""
"","","","CMD 1","90,626.400","Total VA","","","","",""
"","","","CMD 2","0.000","No Source","","","","",""
"","","","CMD 3","0.000","No Source","","","","",""
"","","","CMD 4","0.000","No Source","","","","",""
"","","","CMD 5","0.000","No Source","","","","",""
"","","","CMD 6","0.000","No Source","","","","",""
"","","","CMD 7","0.000","No Source","","","","",""
"","","","CMD 8","0.000","No Source","","","","",""
"","Multi-Utility Registers","","","","","","","","",""
"","Coincident Demand Registers","","","","","","","","",""
"","","Coincident Demands","","","","","","","",""
"","","","Ref","Value","Source","","","","",""
"","","","CD 1a","0.000","No Source","","","","",""
"","","","CD 1b","0.000","No Source","","","","",""
"","","","CD 1c","0.000","No Source","","","","",""
"","","","","","","","","","",""
"","","","CD 2a","0.000","No Source","","","","",""
"","","","CD 2b","0.000","No Source","","","","",""
"","","","CD 2c","0.000","No Source","","","","",""
"","","","","","","","","","",""
"","","","CD 3a","0.000","No Source","","","","",""
"","","","CD 3b","0.000","No Source","","","","",""
"","","","CD 3c","0.000","No Source","","","","",""
"","","","","","","","","","",""
"","","","CD 4a","0.000","No Source","","","","",""
"","","","CD 4b","0.000","No Source","","","","",""
"","","","CD 4c","0.000","No Source","","","","",""
"","","","","","","","","","",""
"","","","CD 5a","0.000","No Source","","","","",""
"","","","CD 5b","0.000","No Source","","","","",""
"","","","CD 5c","0.000","No Source","","","","",""
"","","","","","","","","","",""
"Instantaneous Parameters","","","","","","","","","",""
